Country,Scenario,MODIS_Classes,Cropland_Sum,Pasture_Sum,Urban_Sum
Angola,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Angola,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Angola,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Angola,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Angola,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Botswana,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Botswana,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Botswana,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Botswana,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Botswana,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Burundi,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Burundi,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Burundi,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Burundi,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Burundi,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Comoros,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Comoros,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Comoros,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Comoros,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Comoros,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Congo,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Congo,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Congo,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Congo,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Congo,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Democratic Republic of Congo,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC16, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Democratic Republic of Congo,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC16, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Democratic Republic of Congo,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC16, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Democratic Republic of Congo,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC16, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Democratic Republic of Congo,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC16, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC15, LC3",1,1,1
Eswatini,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Eswatini,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Eswatini,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Eswatini,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Eswatini,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC14, LC7, LC6, LC1, LC3",1,1,1
Gabon,SSP1_RCP26,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC7, LC6, LC1, LC3",1,1,1
Gabon,SSP2_RCP45,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC7, LC6, LC1, LC3",1,1,1
Gabon,SSP3_RCP70,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC7, LC6, LC1, LC3",1,1,1
Gabon,SSP4_RCP60,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC7, LC6, LC1, LC3",1,1,1
Gabon,SSP5_RCP85,"LC2, LC9, LC10, LC11, LC8, LC12, LC4, LC13, LC5, LC7, LC6, LC1, LC3",1,1,1
Glorioso Islands,SSP1_RCP26,"LC2, LC1",1,1,1
Glorioso Islands,SSP2_RCP45,"LC2, LC1",1,1,1
Glorioso Islands,SSP3_RCP70,"LC2, LC1",1,1,1
Glorioso Islands,SSP4_RCP60,"LC2, LC1",1,1,1
Glorioso Islands,SSP5_RCP85,"LC2, LC1",1,1,1
